Label,Subsection,Title,Abstract
Immigration,Politics,Religious Groups Sue Homeland Security Over Immigration Arrests,"After taking office, President Trump rescinded a policy that instructed immigration agents to steer clear of sensitive locations like churches, schools and hospitals."
Immigration,Politics,San Francisco Is Latest City to Sue Trump Over Immigration Policies,Some local officials are pushing back against the federal government’s assertion that they must help ICE with its deportation campaign.
Immigration,Politics,The Propaganda Behind Trump’s Immigration Crackdown,"A far-reaching propaganda effort on immigration is being coordinated at the highest levels inside the White House. Michael D. Shear, a White House correspondent for The New York Times, explains what its goals are."
Immigration,Politics,I.R.S. Agents Are Asked to Help With Immigration Crackdown,The request by the Department of Homeland Security could suck resources away from tax enforcement efforts.
Immigration,Politics,White House P.R. Campaign Aims to Show Trump Making Good on Immigration Promise,"The government is releasing photos and videos to promote President Trump’s immigration agenda, including footage of troops at the border and close-up shots of shackled immigrants."
Immigration,Politics,Trump Administration Sues Illinois Leaders Over Immigration Enforcement,"The suit asserts that sanctuary laws in Chicago, Cook County and Illinois have obstructed federal efforts to enforce immigration policy."
Immigration,Politics,High Immigration Arrest Figures Under Trump Come With Few Details,"Specifics of detainments have been scarce, leaving it unclear whether the criminals being targeted make up a significant share of those being captured."
Immigration,Politics,"Tennessee Lawmakers, Mirroring Trump Agenda, Pass Bills on Immigration and School Vouchers","The legislature’s Republican supermajority left little room for debate, pushing through millions of dollars and sprawling policy changes in a special session that lasted just four days."
Immigration,Politics,Trump’s Day 1 Crackdown on Immigration,"President Trump’s executive actions on immigration were the leading edge of an effort to upend the United States’ role as a sanctuary for refugees and immigrants. Zolan Kanno-Youngs, a White House correspondent for The New York Times, explains what Trump has done so far."
Immigration,Politics,Trump Administration Begins Immigration Arrests in Chicago,"The number of arrests there was uncertain. Illinois officials, including the governor, said they had not been given advance notice."
Immigration,Politics,Hegseth Promises ‘Shift’ at Pentagon and a Focus on Immigration,"“Whatever is needed at the border will be provided,” Pete Hegseth, the new defense secretary, told reporters on Monday."
Immigration,Politics,"Border, Asylum, Citizenship: Trump Kicks Off Vast Immigration Changes","More is coming, but many directives will take time to be implemented or will face political, legal or practical obstacles."
Immigration,Politics,Trump Administration Fires Immigration Court Officials as Crackdown Begins,Four immigration court officials were removed from their positions on Monday. It’s unclear who is in charge at this point.
Immigration,Politics,F.B.I. Calls D.H.S. Secretary’s Criticism ‘Deeply Irresponsible’,Secretary Kristi Noem suggested this week that F.B.I. special agents leaked details ahead of immigration arrests being conducted on the West Coast.
Immigration,Politics,Trump Administration Toughens Rules for Release of Migrant Children,A new policy requires the fingerprinting of all adults who will be living with a migrant child in the United States. Advocates for immigrants say it could fuel overcrowding in shelters.
Immigration,Politics,Vance Shocks Europe With a Message That He Has Long Promoted at Home,"The vice president’s speech in Munich, expressing support for far-right, anti-immigration parties and criticizing suppression of conservative voices, was a global extension of his core political themes."
Immigration,Politics,House Passes Bill to Crack Down on Migrants Fleeing the Police Near the Border,The legislation would increase penalties for citizens and allow anyone who is not a citizen to be deported for evading arrest or detention while driving a vehicle within 100 miles of the border.
Immigration,Politics,Here Are the Names of 53 Migrants Taken to Guantánamo Bay,"The Times has obtained a list of the names of the men, whom the U.S. government has described as Venezuelan citizens under final deportation orders."
Immigration,Politics,Justice Dept. Accuses New York of Favoring ‘Illegal Aliens’ Over U.S. Citizens,"The attorney general sued the state, citing a law allowing New Yorkers to get a driver’s license regardless of legal status. Gov. Kathy Hochul’s office made clear that it supported “deporting violent criminals.”"
Immigration,Politics,Fourth Federal Judge Blocks Trump’s Birthright Citizenship Order,"Federal judges in Maryland, Washington State and New Hampshire have already issued similar injunctions to stop the executive order from being enacted."
Immigration,Politics,"Trump Wants Sheriffs to Aid Deportation Efforts, but Who Would Pay?","The Trump administration is counting on the nation’s sheriffs to assist in enforcing its immigration policies, but holding undocumented immigrants in local jails comes with a price tag."
Immigration,Politics,U.S. Deports Migrants From Asia to Panama,"The move could herald a new front in the Trump administration’s plans for mass deportations, one that allows for more rapid removal of migrants whose home countries are reluctant to accept them."
Immigration,Politics,Court Blocks U.S. From Sending 3 Venezuelan Migrants to Guantánamo,"The men, who are detained in New Mexico, say they “fit the profile” of the type of migrants the Trump administration has started sending to the Navy base in Cuba."
Immigration,Politics,Groups Sue Over Trump’s Pause on Refugee Admissions,The lawsuit by advocacy organizations aims to bring back the resettlement of refugees in the United States after President Trump halted the program.
Immigration,Politics,Fiery Directives Under Trump’s Justice Dept. Signal a Significant Shift,"The new tone of the department, current and former officials say, appears to promise a campaign of intimidation against career employees viewed as insufficiently loyal."
Immigration,Politics,A Tent City Is Rising at Guantánamo Bay,These are the first independent images to emerge from the migrant operation that the Trump administration has begun at the Navy base.
Immigration,Politics,"Newsom Signs Bills to Fight Trump, Including Legal Aid for Immigrants","Gov. Gavin Newsom, a Democrat, has been balancing a desire to push back on Republican policies with a need to cooperate in seeking federal disaster aid."
Immigration,Politics,"The Senate G.O.P. unveils its own budget plan, teeing up a fight with the House.",House Republicans have been toiling unsuccessfully to reach agreement on a fiscal blueprint. Their Senate colleagues are leapfrogging ahead.
Immigration,Politics,U.S. Is Holding Migrants in Cells That Once Held Al Qaeda Suspects,The Trump administration said the 10 men who were sent to a prison on the base at Guantánamo Bay are affiliated with gangs.
Immigration,Politics,Justice Dept. to Investigate Local Officials Who Obstruct Immigration Enforcement,A memo asserts that state and local officials are bound to cooperate and could face criminal prosecution or civil penalties if they fail to comply.
Immigration,Politics,See Where Trump Is Expanding Immigrant Detention at Guantánamo,Documents and satellite imagery show how much buildup is underway at the military site.
Immigration,Politics,"Ahead of Day 1, Trump’s Team Works to Temper Expectations on Immigration",The president-elect’s immigration advisers have warned Republicans that it will take time and money from Congress to carry out the mass deportation effort he has promised to execute immediately.
Immigration,Politics,Trump Says He Would Jail Americans in El Salvador ‘in a Heartbeat’,"The proposal is almost certainly illegal, experts said, but President Trump’s eagerness to entertain it showed his willingness to embrace extreme measures to demonstrate he is tough on crime."
Immigration,Politics,U.S. Begins Flying Migrants to Guantánamo,The decision to send migrants from the United States to Guantánamo Bay is a change in how the country handles people it deports.
Immigration,Politics,Defense Secretary Vows to Use Thousands of Active-Duty Troops to Secure Border,"Defense Secretary Pete Hegseth and Thomas D. Homan, President Trump’s border czar, toured areas near Mexico."
Immigration,Politics,A.C.L.U. Sues to Stop Trump’s Closure of Border to Asylum Seekers,The lawsuit argues that Mr. Trump’s executive order limiting asylum access violates U.S. law.
Immigration,Politics,El Salvador’s President Offers to Accept Criminals From U.S. for a Fee,"Secretary of State Marco Rubio praised President Nayib Bukele’s “unprecedented, extraordinary” proposal to accept any convicted criminal deported by the United States."
Immigration,Politics,What Does Trump Really Want From Canada and Mexico?,President Trump’s demands on the United States’ neighbors are difficult to measure. That allows him to declare victory when he sees fit.
Immigration,Politics,"Trump Starts Immigration Crackdown, Enlisting the Military and Testing the Law",The president’s Day 1 actions included directives that fly in the face of legal limits on involving the military in domestic operations and the constitutional guarantee of birthright citizenship.
Immigration,Politics,Guantánamo Bay Prepares for President Trump’s Migrant Surge,About 300 servicemembers have arrived in recent days as the base faces its most drastic changes since the Pentagon opened a prison there after the Sept. 11 attacks.
Immigration,Politics,Trump Administration Moves to End Protections for Venezuelans in the U.S.,"The decision to terminate Temporary Protected Status for more than 300,000 people signals that President Trump will continue to dismantle a program that aims to protect migrants from potentially dangerous countries."
Immigration,Politics,Trump Tariffs Threaten to Upend Global Economic Order,The invoking of national security to unravel trade agreements could scramble the international trading system in China’s favor.
Immigration,Politics,"Rubio Heads to Panama, With Canal in His Sights","On his first trip as secretary of state, Marco Rubio will also visit four other Latin American countries and press immigration issues."
Immigration,Politics,Trump’s Tariffs Would Reverse Decades of Integration Between U.S. and Mexico,"Ties between the United States and Mexico have deepened over 30 years of free trade, creating both benefits and irritants."
Immigration,Politics,"Trump Signs Orders Imposing Tariffs on Canada, Mexico and China","The president signed executive orders placing tariffs on Canada, Mexico and China that were set to take effect on Tuesday, a move that could lead to a new era of global tensions."
Immigration,Politics,U.S. Military Planes Deliver Deportees to Honduras,President Xiomara Castro previously warned that she could oust the American military from Honduras if President Trump pursued aggressive deportations.
Immigration,Politics,"After Fleeing Violence in Guatemala, Their Child Was Killed in a U.S. School","A week after a 16-year-old was shot at her high school in Nashville, her parents made the wrenching decision to send her body back to Guatemala."
Immigration,Politics,How a New Law Makes Deportations Easier,"The Laken Riley Act is the first law President Trump has signed since coming into office. Zolan Kanno-Youngs, a New York Times White House correspondent, explains how it will make deportations easier."
Immigration,Politics,High Inflation Sows Debate About New Fed Playbook for Tariffs,Fresh tariffs amid high inflation are making the Fed’s job uniquely difficult and feeding uncertainty about what to expect for interest rates this year.
Immigration,Politics,Trump Says U.S. Will Hold Migrants at Guantánamo,"The president suggested 30,000 migrants could be housed on the base. It is unclear how the plan will take shape."
Immigration,Politics,Trump Signs Bill Easing Deportation of Immigrants Accused of Crimes,"The legislation, known as the Laken Riley Act, is the first to be signed by the president in his new term, and shows how the politics of immigration have shifted."
Immigration,Politics,"Far From Colombia, Trump’s Measures Caused Chaos at Airports",The Trump administration had added extra inspections for passengers from Colombia as part of a pressure campaign. The effects lingered into Wednesday.
Immigration,Politics,Pentagon Allows ICE to Use Colorado Military Base to Detain Migrants,"The decision to allow law enforcement officers to use facilities at Buckley Space Force Base in Aurora, Colo., plunges the U.S. military deeper into President Trump’s order to secure the southwestern border."
Immigration,Politics,Trump Officials Revoke Biden’s Extension of Protections for Venezuelans,"The Biden administration had extended protections for more than 600,000 Venezuelans. The cancellation of the extension could open them up to deportation in the coming months."
Immigration,Politics,"Across Justice Dept., Fear, Anxiety and Angry Bosses","At the department’s headquarters in downtown Washington, lawyers described the uncertainty that has rippled across the agency."
Immigration,Politics,World Bank Warns Colombian Staff Against U.S. Travel After Trump Visa Edict,Several Colombians whose visas were revoked were World Bank employees traveling in the United States at the time. They were deported.
Immigration,Politics,Crackdown Bill Exposes Democratic Rift on Immigration as Trump Takes Power,"A G.O.P. measure to deport immigrants accused of minor crimes has spotlighted a divide among Democrats over how to position themselves on immigration, with some already shifting to the right."
Immigration,Politics,Denmark and Other Nations Under Pressure Seek Lobbyists With Trump Ties,The president’s confrontational foreign policy has created opportunity for his allies on K Street who are willing to take on clients he has targeted.
Immigration,Politics,Is Trump’s Plan to End Birthright Citizenship ‘Dred Scott II’?,The 14th Amendment overturned the 1857 decision that denied citizenship to Black people. Scholars say President Trump’s proposal betrays that history.
Immigration,Politics,Vance Offers Fierce Endorsement of Trump’s First Week,"In his first television interview as vice president, JD Vance defended President Trump on a variety of policies, including some he had previously second-guessed."
Immigration,Politics,Kristi Noem Is Confirmed as Homeland Security Secretary,The former South Dakota governor now leads the agency that runs the nation’s immigration system.
Immigration,Politics,"Trump Officials Pause Programs to Let In Immigrants, Including Ukrainians",The pause on several initiatives that allowed immigrants to enter the country temporarily will block the entrance of people fleeing some of the most unstable and desperate places in the world.
Immigration,Politics,U.S. Military Planes Carrying Migrants Land in Guatemala,The Department of Defense said this week that it would provide planes for deportation flights.
Immigration,Politics,Trump Leaves Democrats Dazed and on the Defensive,"Locked out of power in Washington, the party is struggling to agree on a unified message of opposition. Some of its lawmakers are even telling Republicans they want to work together."
Immigration,Politics,Trump Officials Move to Quickly Expel Migrants Biden Allowed In Temporarily,A memo appears to allow Immigration and Customs Enforcement officials to target programs that let in more than a million people.
Immigration,Politics,How Trump Could Justify His Immigration Crackdown,"President-elect Donald Trump is likely to justify his plans to seal off the border with Mexico by citing a public health emergency from immigrants bringing disease into the United States. Now he just has to find one. New York Times White House Correspondent, Zolan Kanno-Youngs, explains."
Immigration,Politics,Congress Clears Measure to Deport Immigrants Accused of Crimes,"Final approval by the House sent the legislation, which requires the detention and deportation of unauthorized migrants charged with crimes, to President Trump’s desk."
